04-01-2024 07:29 : DTC Install error = 0, Enter MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (367)
04-01-2024 07:29 : DTC Install error = 0, Action: None, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (396)
04-01-2024 07:29 : DTC Install error = 0, Entering CreateXATmSecurityKeyCNG, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (1700)
04-01-2024 07:29 : DTC Install error = 0, Exiting CreateXATmSecurityKeyCNG, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (1876)
04-01-2024 07:29 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
02-19-2025 05:48 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
02-19-2025 05:48 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
06-12-2025 11:30 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
06-12-2025 11:31 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
11-22-2025 15:52 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
11-22-2025 15:53 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
12-17-2025 13:56 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
12-17-2025 13:57 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
